Date,Price,Open,High,Low,Vol.,Change %
"Oct 25, 2017","41,595.32","41,305.30","41,626.86","41,294.95",48.11M,0.74%
"Oct 24, 2017","41,291.68","41,446.60","41,457.26","40,913.93",64.94M,-0.46%
"Oct 23, 2017","41,483.54","42,148.54","42,161.80","41,414.12",64.06M,-1.44%
"Oct 20, 2017","42,087.89","41,687.59","42,155.72","41,471.24",111.82M,1.27%
"Oct 19, 2017","41,558.07","40,826.57","41,614.28","40,821.33",113.03M,2.02%
"Oct 18, 2017","40,733.45","40,760.07","40,872.48","40,224.20",49.26M,0.02%
"Oct 17, 2017","40,724.96","40,892.36","41,353.23","40,692.09",81.06M,-0.16%
"Oct 16, 2017","40,791.39","39,978.40","40,813.53","39,978.40",55.28M,2.37%
"Oct 13, 2017","39,846.78","40,236.92","40,236.92","39,478.05",78.94M,-0.97%
"Oct 12, 2017","40,237.53","40,558.74","40,791.91","39,834.10",62.70M,-0.66%
"Oct 11, 2017","40,503.68","40,639.75","40,776.97","40,315.02",52.75M,-0.26%
"Oct 10, 2017","40,610.72","41,109.73","41,112.27","40,287.26",121.79M,-1.19%
"Oct 09, 2017","41,099.99","41,334.50","41,336.43","41,004.66",52.19M,-0.51%
"Oct 06, 2017","41,312.59","40,494.58","41,334.93","40,494.58",81.77M,2.09%
"Oct 05, 2017","40,468.49","40,545.27","40,819.44","40,036.23",83.10M,0.02%
"Oct 04, 2017","40,461.00","41,092.66","41,179.88","39,869.88",97.26M,-1.59%
"Oct 03, 2017","41,115.78","42,043.21","42,043.21","41,025.28",62.87M,-2.15%
"Oct 02, 2017","42,018.90","42,431.54","42,434.82","41,944.37",41.23M,-0.92%
"Sep 29, 2017","42,409.27","42,391.00","42,543.20","42,286.60",92.31M,0.11%
"Sep 28, 2017","42,362.87","42,291.44","42,456.53","42,195.09",60.05M,0.17%
"Sep 27, 2017","42,290.15","42,563.19","42,619.09","42,101.68",67.99M,-0.88%
"Sep 26, 2017","42,666.23","42,844.80","42,957.71","42,599.64",93.92M,-0.18%
"Sep 25, 2017","42,743.65","42,815.23","43,087.07","42,628.37",67.65M,-0.02%
"Sep 22, 2017","42,750.19","42,771.66","42,921.13","42,572.04",52.08M,-0.06%
"Sep 21, 2017","42,775.04","43,338.68","43,386.73","42,705.66",82.28M,-1.32%
"Sep 20, 2017","43,347.03","43,309.42","43,435.92","43,145.83",105.63M,0.22%
"Sep 19, 2017","43,253.26","42,889.52","43,297.41","42,889.52",95.14M,0.96%
"Sep 18, 2017","42,841.41","42,833.86","42,924.93","42,489.69",59.06M,0.13%
"Sep 15, 2017","42,787.19","42,700.14","43,014.42","42,538.05",97.95M,0.24%
"Sep 14, 2017","42,683.57","42,392.65","42,732.51","42,171.26",80.41M,0.88%
"Sep 13, 2017","42,310.12","41,407.04","42,346.23","41,387.30",84.25M,2.50%
"Sep 12, 2017","41,279.30","41,265.57","41,411.18","41,024.54",57.22M,0.37%
"Sep 11, 2017","41,126.83","41,534.69","41,552.05","41,062.47",50.38M,-0.66%
"Sep 08, 2017","41,401.02","41,227.88","41,635.74","41,169.97",78.23M,1.08%
